Paises;%TotalMuerte;hospital_beds_per_thousand;life_expectancy;human_development_index;%PIB
Nicaragua;0,0000247;0,9;74,48;0,66;5,12
Barbados;0,0000244;5,8;79,19;0,814;2,94
Guinea_Bissau ;0,0000229;0;58,32;0,48;0,64
Saint_Lucia ;0,0000219;1,3;76,2;0,759;2,08
Senegal;0,0000214;0;67,94;0,512;0,95
Zimbabwe;0,000021;1,7;61,49;0,571;1,32
Haiti;0,0000208;0,7;64;0,51;0,92
Yemen;0,0000208;0,7;66,12;0,47;0
Lesotho;0,0000207;0;54,33;0,527;0
Zambia;0,0000205;2;63,89;0,584;1,93
Japan;0,0000204;13,05;84,63;0,919;9,21
Uzbekistan;0,0000186;4;71,72;0,72;2,02
Congo;0,0000184;0;64,57;0,574;0,79
Cameroon;0,0000171;1,3;59,29;0,563;0
Liberia;0,0000168;0,8;64,1;0,48;1,7
Botswana;0,0000161;1,8;69,59;0,735;4,53
Ethiopia;0,0000161;0,3;66,6;0,485;0,77
Central_African_Republic ;0,0000133;1;53,28;0,397;0,69
Malaysia;0,000013;1,9;76,16;0,81;1,92
Cuba;0,0000121;5,2;78,8;0,783;9,95
Angola;0,0000117;0;61,15;0,581;1,07
South_Korea;0,0000115;12,27;83,03;0,916;4,42
Ghana;0,0000108;0,9;64,07;0,611;1,38
Malawi;0,00001;1,3;64,26;0,483;2,7
Mali;0,0000099;0,1;59,31;0,434;1,1
Madagascar;0,0000096;0,2;67,04;0,528;0
Sierra_Leone ;0,0000096;0;54,7;0,452;1,56
Tajikistan;0,0000094;4,8;71,1;0,668;1,96
Comoros;0,0000082;2,2;64,32;0,554;0,42
Togo;0,0000082;0,7;61,04;0,515;1,05
Mauritius;0,0000079;3,4;74,99;0,804;2,51
Sri_Lanka ;0,0000071;3,6;76,98;0,782;1,54
Brunei_Darussalam ;0,0000069;2,7;75,86;0,838;2,3
Chad;0,0000064;0;54,24;0,398;0,7
Guinea;0,0000062;0,3;61,6;0,477;0,65
Nigeria;0,000006;0;54,69;0,539;0,58
South_Sudan ;0,0000056;0;57,85;0,433;0,69
New_Zealand;0,0000052;2,61;82,29;0,931;6,89
Cote_dIvoire ;0,0000052;0;57,78;0,538;1,21
Singapore;0,000005;2,4;83,62;0,938;2,25
